,Name,Total
0,Andaman and Nicobar Islands,10039
1,Andhra Pradesh,2319797
2,Arunachal Pradesh,64503
3,Assam,724220
4,Bihar,830653
5,Chandigarh,92208
6,Chhattisgarh,1152333
7,Dadra and Nagar Haveli and Daman and Diu,11441
8,Delhi,1899072
9,Goa,245548
10,Gujarat,1224657
11,Haryana,998552
12,Himachal Pradesh,284926
13,Jammu and Kashmir,454131
14,Jharkhand,435289
15,Karnataka,3949446
16,Kerala***,6546235
17,Ladakh,28256
18,Lakshadweep,11402
19,Madhya Pradesh,1041867
20,Maharashtra,7880337
21,Manipur,137230
22,Meghalaya,93819
23,Mizoram,227962
24,Nagaland,35492
25,Odisha,1288272
26,Puducherry,165806
27,Punjab,760028
28,Rajasthan,1284618
29,Sikkim,39161
30,Tamil Nadu,3454556
31,Telangana,792526
32,Tripura,100887
33,Uttarakhand,437674
34,Uttar Pradesh,2077406
35,West Bengal,2018763
